Conocimiento:6.04
Ideal_Conocimiento:9.82
Habilidades:5.9
Ideal_Habilidades:9.88
Actitudes_y_Valores:5.53
Ideal_Ac_Val:9.85
Global:55.38
Previous experience,4.826942,1.2986758168025407
Autonomous Learning ,4.753233,4.848799586999416
Possesion of information,4.710952,2.99859431886098
Critical thinking,4.658552,2.940138720459771
Seize opportunities,4.796937,4.87639774973746
Development  of contact network,4.791136,2.5820656666464155
Decision making and problem solving,4.888132,1.2160390306505482
Persuasion ,4.805802,3.2074446383994193
Creativity e innovation,4.758982,2.753650966272304
Leadership ,4.830064,3.060710837134444
Nonconformity and individualism,4.886479,0.32464541740396996
Locus of internal control ,4.820008,1.1210209066207462
Tendency to take risks ,4.883331,1.486058924175053
Tolerance for failure and uncertainty ,4.797048,4.215600344156741
Motivation,4.771941,2.8302683116756926
Persistence ,4.86577,3.64609708786851
Legitimacy,4.753092,4.34954475474553
Self-Eficacy ,4.774559,2.5403619459510223
Competitiveness,4.737989,3.6662382389472317
Trust ,4.73154,3.4493287180939154
